corp_code,corp_name,stock_code,modify_date,done_YN
00351579,SGA,049470,20240801,N
00988364,SGA솔루션즈,184230,20240801,N
01621183,보이스아이,,20220721,N
00298270,안랩,053800,20230206,N
00402110,시큐브,131090,20240829,N
00868705,윈스,136540,20221206,N
00364847,이글루,067920,20221129,N
00363592,한컴위드,054920,20230331,N
00599106,네오리진,094860,20221202,N
01003040,케이사인,192250,20240327,N
00273420,이스트소프트,047560,20240320,N
00255433,라온시큐어,042510,20240103,N
00638487,파수,150900,20240226,N
00306454,한국정보인증,053300,20240328,N
01047169,지란지교시큐리티,208350,20240401,N
00577016,수산아이앤티,050960,20241129,N
00962223,지니언스,263860,20220214,N
01038693,드림시큐리티,203650,20250102,N
01583652,모니터랩,434480,20240520,N
00492353,파이오링크,170790,20230221,N
01113499,시큐센,232830,20230629,N
01579570,시큐레터,418250,20230824,N
00176914,다우기술,023590,20231106,N
00238782,다우데이타,032190,20240401,N
00204262,한글과컴퓨터,030520,20230214,N
00445841,MDS테크,086960,20230410,N
00620868,아이티센,124500,20240401,N
00186559,콤텍시스템,031820,20240402,N
00204226,소프트센,032680,20230502,N
00110875,대신정보통신,020180,20240522,N
00138303,쌍용정보통신,010280,20241220,N
00264635,에스넷,038680,20241217,N
